Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12
0.4615646,0.526693347,9.559767412,8.936796787,9.511628773,2.763724228,22.71011097,16.80604846,22.14094236,52.0180472,45.22200402,37.60477228
2.018991163,3.092199649,8.132598344,8.656460006,9.53994562,6.173072559,25.35773613,18.67212865,27.84112358,41.51249712,36.16061311,33.98021592
0.707921165,12.62081853,5.595408888,8.251529099,43.55131007,50.77210595,17.98402928,26.74526161,36.58536581,62.77844891,67.93211499,77.81469446
0.478554708,2.426753754,3.089367964,4.035150641,4.301328999,3.647209842,15.99618664,19.44234688,29.05308461,54.08517701,64.84557871,104.1776786
1.008079739,3.078041225,2.234199197,2.803367813,5.108359127,6.603488627,34.51823601,33.15902737,38.765763,58.332704,64.98716295,75.09627718
0.66827758,2.316318052,2.647625157,2.885486669,3.859586192,5.167824505,25.83629084,31.26179865,31.00694703,62.66518153,69.60280894,70.73548281
1.203465981,3.366873061,1.659367211,2.304991313,3.567922672,3.378199799,10.73491655,35.4243751,58.13448607,126.5479875,144.8689872,147.2759192
1.146832287,2.361625006,2.242694251,2.732575697,3.185645243,4.213546774,14.0479876,37.4915049,37.43487121,133.0325453,150.6173071,174.2901908
0.538020085,1.407347276,3.570754356,2.820357921,2.741070751,3.004417424,11.72600618,29.22298569,18.81654457,54.31171178,53.68874115,52.35784936
20.60900096,62.41032991,70.65053227,53.88695908,84.27093548,91.91648406,47.0909159,137.7331419,185.333761,286.8496561,312.9011549,342.0675069
2.474892393,6.229706252,9.517292142,10.41210449,13.45050214,17.34973191,34.09348331,56.32220789,57.99290184,187.0327718,207.675753,213.6789244
0.273540738,3.777467336,11.05206523,10.27052026,11.30408516,10.04681717,25.35773613,23.15468546,22.83187341,50.94200703,47.00596536,36.41546473
0.702257796,0.487049762,12.03182812,10.61032242,7.829608085,3.556595933,20.09080266,12.40844218,19.69153513,37.40655436,33.24397791,31.37506603
4.963943209,5.145171027,8.693271906,7.852261562,10.58766894,16.33882049,18.19074226,21.85777389,22.98478439,42.33368567,48.11032237,53.91527593
